Country Code,Country,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"4","Algeria","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2009","2009","","0.180000","AS"
"4","Algeria","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2010","2010","","0.180000","AS"
"4","Algeria","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2011","2011","","0.210000","AS"
"4","Algeria","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2012","2012","","0.210000","AS"
"4","Algeria","23045","Agriculture research spending","6084","2011 PPP$","2009","2009","I$","76.900000","AS"
"4","Algeria","23045","Agriculture research spending","6084","2011 PPP$","2010","2010","I$","71.000000","AS"
"4","Algeria","23045","Agriculture research spending","6084","2011 PPP$","2011","2011","I$","82.900000","AS"
"4","Algeria","23045","Agriculture research spending","6084","2011 PPP$","2012","2012","I$","91.600000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2007","2007","","4.200000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2008","2008","","3.810000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2009","2009","","4.020000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2010","2010","","3.680000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2011","2011","","3.650000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2012","2012","","2.980000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2007","2007","I$","1.500000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2008","2008","I$","1.300000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2009","2009","I$","1.200000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2010","2010","I$","1.100000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2011","2011","I$","1.300000","AS"
"8","Antigua and Barbuda","23045","Agriculture research spending","6084","2011 PPP$","2012","2012","I$","1.000000","AS"
"9","Argentina","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2000","2000","","1.330000","AS"
"9","Argentina","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2001","2001","","1.300000","AS"
"9","Argentina","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2002","2002","","0.630000","AS"
"9","Argentina","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2003","2003","","0.820000","AS"
"9","Argentina","23045","Agriculture research spending","6083","Share of Value Added (Agriculture, Forestry and Fishing)","2004","2004","","0.810000","AS"
