Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,16.0582,16.86606,17.40084,17.80448,18.09427,18.72297,19.51663,20.22016,21.20332,..,..,..,11.41622,..,..,..,15.81608,..,..,..,16.8382,..,..,..,..,..,..,..,..,..,..,..,..,44.59988,50.92417,..,..,..,..,59.08587,..,61.9997,..,..,65.79363,..,..,..,64.43013,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,4.50856,..,4.74242,5.07726,5.11067,5.47672,5.89399,6.47344,6.96467,..,..,..,..,..,..,..,10.67282,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.11663,29.09865,..,..,..,..,44.2292,..,48.99619,..,..,51.30789,..,..,..,49.19871,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,27.41987,..,29.74823,30.16882,30.66925,31.5223,32.66234,33.47293,34.91441,..,..,..,..,..,..,..,20.66081,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.12237,71.26862,..,..,..,..,73.14237,..,74.30477,..,..,79.51016,..,..,..,78.91602,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.95165,..,..,71.13085,..,65.70924,66.06237,67.59711,69.141,68.54409,68.71823,69.00129,69.74,70.7285,64.64505,61.81223,62.06585,62.87973,63.40557,65.17871,66.26195,66.39499,65.96461,66.36585,65.96581,66.52603,66.21483,68.66119,68.93785,70.70961,71.5171,72.25983,76.49879,79.0329,83.18275,87.05518,88.73256,87.41363,85.23001,84.96134,83.89356,85.01313,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.87192,..,..,67.9169,..,63.98997,64.00303,65.07095,66.58082,66.21342,66.9851,67.27926,67.759,68.8402,64.85397,62.71862,61.85745,61.83495,62.58842,64.14992,..,65.62275,65.42224,66.18951,..,..,66.09478,68.46265,68.95111,71.5302,72.45502,74.17418,78.69764,81.55939,86.17241,90.22035,92.07545,90.64685,88.91327,89.25792,88.64442,90.16838,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75.90989,..,..,74.20743,..,67.35181,68.02752,70.00326,71.573,70.74872,70.34908,70.61498,71.5954,72.50508,64.4468,60.942,62.26813,63.89844,64.1975,66.18734,..,67.15245,66.49542,66.53872,..,..,66.33112,68.8534,68.92506,69.92852,70.63682,70.48844,74.49205,76.75668,80.49384,84.20885,85.7227,84.4941,81.88938,81.07743,79.60931,80.37304,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.84637,58.80958,..,61.3869,61.62879,62.22811,62.13766,62.34281,61.90309,62.37048,..,..,65.65206,..,67.00167,68.47373,69.25699,70.52548,71.16516,71.10657,67.81475,..,76.96427,79.15408,80.86631,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.56537,71.98359,71.89718,68.99212,..,77.97658,80.71506,82.59009,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.48716,70.37901,70.34727,66.68225,..,75.9894,77.65034,79.20585,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.75878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
