Country,Year,Total Agri Production,GDP(1000 USD),GDP per capita,Country_Code,No of frost days,Precipitation,Avg temperature,"Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary to tertiary, female (%)","Gross enrolment ratio, primary to tertiary, male (%)",Area,Population,Fertilizer Use Per Capita,Credit to Agriculture,FDI inflows to Agriculture,Agriculture share of Government Expenditure,Water Use Efficiency,Gini coefficient,Agri_Prod_Per_Capita
Albania,1993.0,1885819.0,1700439.125,515.173587,ALB,6.29,90.18,12.14,61.81223,62.71862,60.942,1126.0,3300711.0,5.42,,642888.0,2.93,0.26,0.2701034197508885,571.3372058323192
Albania,1994.0,1824978.0,1880950.821,571.023495,ALB,3.95,76.69,13.21,62.06585,61.85745,62.26813,1126.0,3293999.0,4.48,,642888.0,2.93,0.26,0.2701034197508885,554.0311335856507
Albania,1995.0,1464974.0,2392764.8869999996,728.532187,ALB,5.08,116.03,11.81,62.87973,61.83495,63.89844,1127.0,3284364.0,3.34,,642888.0,2.93,0.26,0.2701034197508885,446.04495725808715
Albania,1996.0,1602148.0,3199642.024,978.085686,ALB,4.8,123.96,11.91,63.40557,62.58842,64.1975,1131.0,3271331.0,1.99,,642888.0,2.93,0.26,0.2701034197508885,489.7541703973092
Albania,1997.0,1431983.0,2224654.2410000004,683.726604,ALB,5.38,81.0,12.12,65.17871,64.14992,66.18734,1135.0,3253719.0,1.6,,642888.0,2.93,0.26,0.27798448284827726,440.1065365509437
Albania,1998.0,1527417.0,2554868.837,790.448796,ALB,5.48,103.47,12.41,66.26195,,,1139.0,3232175.0,7.73,,642888.0,2.93,0.26,0.285865545945666,472.56630597043784
Albania,1999.0,1507759.0,3221670.165,1004.179887,ALB,4.88,107.27,12.79,66.39499,65.62275,67.15245,1145.0,3208260.0,3.3,,642888.0,2.93,0.26,0.2937466090430548,469.9615991222656
Albania,2000.0,1548958.0,3487586.302,1096.028688,ALB,5.58,81.56,12.56,65.96461,65.42224,66.49542,1144.0,3182021.0,5.87,,642888.0,2.93,0.26,0.30162767214044356,486.7843424037742
Albania,2001.0,1574063.0,3926887.597,1245.20315,ALB,4.85,96.19,12.54,66.36585,66.18951,66.53872,1139.0,3153612.0,5.93,,642888.0,2.93,0.26,0.3095087352378323,499.1302037156124
Albania,2002.0,1658484.0,4355865.8889999995,1394.523697,ALB,3.91,104.91,12.6,65.96581,,,1140.0,3123551.0,18.060000000000002,,642888.0,3.72,0.37,0.3173897983352211,530.9610760317344
Albania,2003.0,2078810.0,5561459.461,1798.084592,ALB,5.55,98.5,12.75,66.52603,,,1121.0,3092991.0,18.560000000000002,,642888.0,2.46,0.49,0.31357871798387793,672.1034752445125
Albania,2004.0,2459806.0,7177030.364999999,2343.426765,ALB,4.97,124.48,12.2,66.21483,66.09478,66.33112,1122.0,3062622.0,19.119999999999997,,642888.0,2.12,0.5,0.30976763763253484,803.1699635149229
Albania,2005.0,2472370.0,8052079.313999999,2655.143784,ALB,6.11,122.86,11.61,68.66119,68.46265,68.8534,1077.0,3032634.0,19.939999999999998,,494601.0,2.14,0.57,0.3059565572811917,815.254989556933
Albania,2006.0,2671066.0,8896076.004,2962.014554,ALB,5.83,90.82,11.85,68.93785,68.95111,68.92506,1120.0,3003387.0,16.69,,2508966.0,2.16,0.68,0.3039199395952877,889.3512557655739
Albania,2007.0,3015355.0,10677322.22,3587.70862,ALB,4.36,90.04,12.94,70.70961,71.5302,69.92852,1119.0,2976084.0,17.17,,2737334.0,2.16,0.71,0.3018833219093837,1013.1955280832128
Albania,2008.0,3560932.0,12881352.059999999,4364.06141,ALB,4.21,92.12,12.77,71.5171,72.45502,70.63682,1181.0,2951689.0,15.97,,-79100597.0,1.65,0.8,0.2998467042234797,1206.4048753103732
